证券代码,"市盈率(PE,TTM)
[交易日期]3月前","市销率(PS，TTM)
[交易日期]3月前","净资产收益率ROE(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","总资产报酬率ROA(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","企业倍数(EV2/EBITDA)
[交易日期]3月前","BIAS乖离率
[交易日期]3月前
[周期]20
[复权方式]不复权
[计算周期]日
[单位]%","RSI相对强弱指标
[交易日期]3月前
[周期]14
[复权方式]不复权
[计算周期]日","换手率
[交易日期]3月前
[单位]%","营业利润/营业总收入(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","月收盘价
[交易日期]2020-03-19
[复权方式]不复权","月收盘价
[交易日期]2020-04-17
[复权方式]不复权"
000150.SZ,-163.224,2.1836,-3.2226,1.0583,-6.6105,10.4309,59.1234,8.7281,-3.6188,5.09,3.86
000151.SZ,121.9319,2.3099,2.0944,2.7184,84.6874,-6.9767,38.2632,1.0298,2.7732,8.11,8.02
000153.SZ,25.4782,0.6405,6.0132,4.0778,11.8459,-8.3474,35.444,1.2087,3.5435,7.19,7.07
000155.SZ,9.5951,1.936,15.3343,9.7997,10.1137,-8.0045,37.7439,0.8064,20.9086,3.94,3.9
000156.SZ,21.4504,4.0381,6.0671,3.4286,7.0293,-7.9263,40.5681,1.3561,20.1733,9.33,9.56
000157.SZ,10.2056,1.0866,10.7989,7.2128,9.1883,-12.1447,31.6343,1.2778,13.2648,5.69,6.4
000158.SZ,97.4148,1.7249,3.1724,3.6793,36.4595,-7.2504,51.2661,7.1824,1.8459,8.68,8.99
000159.SZ,108.8584,5.9657,0.9928,2.6134,33.322,-9.5569,39.0531,3.3345,11.8245,5.01,4.68
000166.SZ,19.6108,4.9221,6.7367,——,——,-7.8312,34.9926,0.3057,30.9364,4.41,4.37
000301.SZ,15.416,0.9589,8.9504,4.6241,7.8429,-3.3914,42.5672,0.6414,6.8369,4.77,5
000333.SZ,14.357,1.2292,23.2583,9.0624,10.6002,-8.9427,33.2222,0.813,10.4624,48.42,53.75
000338.SZ,10.0047,0.5793,21.4808,6.4918,4.6315,-13.632,31.4443,1.6138,8.904,11.96,13.4
000400.SZ,47.0592,1.5729,3.8208,3.1199,18.7903,5.5966,57.3406,4.7556,4.8829,13.09,14.09
000401.SZ,9.7799,0.7654,17.5921,12.2208,3.5258,1.3129,57.7109,3.9597,18.2777,19.61,20.23
000402.SZ,5.3673,0.7223,10.3802,4.9702,12.5732,-7.992,28.3934,0.4839,23.551,6.54,6.94
000403.SZ,62.0938,11.097,20.4452,13.032,38.9073,4.2561,57.5431,1.1937,19.4508,37.62,39.43
000404.SZ,34.8686,0.2708,2.1988,1.3285,11.5442,-6.0759,39.09,0.5454,1.8851,3.5,3.4
000407.SZ,22.0158,0.5108,5.2816,5.3701,8.5291,-4.5204,39.8857,1.271,5.0006,3.6,3.23
000411.SZ,19.7359,0.1193,9.3784,5.6226,6.2168,-8.274,33.2858,0.9784,1.8427,11.37,11.34
000413.SZ,9.2166,0.7774,6.3937,4.6266,——,-12.2179,39.4167,2.3813,10.4677,3,2.78
000415.SZ,9.6391,0.4859,5.0984,4.7566,9.146,-10.9396,32.3964,0.7931,9.4671,2.9,2.74
000416.SZ,73.096,30.104,3.8378,5.5664,44.9715,-7.236,41.5397,2.2482,62.6913,4.45,4.39
000417.SZ,17.3579,0.3313,5.38,4.7061,3.474,3.5197,54.5285,4.8903,4.625,4.99,4.49
000419.SZ,14.611,0.67,5.8227,4.7941,6.5083,5.0933,62.1363,3.179,6.4695,4.12,4.05
000420.SZ,53.2912,1.7888,2.8624,3.7533,20.6184,-9.2856,44.9499,5.2357,3.4898,2.1,2.21
000421.SZ,21.0457,0.6335,4.2771,2.5293,7.5891,-4.4169,40.8469,0.6144,7.7341,4.09,4.53
000423.SZ,15.6056,2.8833,10.7137,11.1506,-46.4477,-16.0977,17.7834,2.7655,21.6403,25.74,31
